STEPS	TIME[ms]	ERROR
24	127.153	0.0
17	75.447	0.0
44	173.88	0.0
47	219.282	0.0
31	124.698	0.0
44	163.269	0.0
60	207.891	0.0
26	84.606	0.0
21	79.901	0.0
41	143.418	0.0
27	101.161	0.0
17	81.195	0.0
42	150.531	0.0
31	121.108	0.0
15	60.367	0.0
19	75.624	0.0
64	232.938	0.0
19	67.876	0.0
58	181.646	0.0
86	388.336	0.0
16	73.139	0.0
23	82.269	0.0
57	189.095	0.0
53	169.407	0.0
53	263.311	0.0
83	289.828	0.0
7	37.576	0.0
10	45.099	0.0
92	303.801	0.0
46	217.319	0.0
30	152.161	0.0
23	175.199	0.0
69	251.934	0.0
64	228.163	0.0
27	93.328	0.0
14	134.698	0.0
42	199.503	0.0
20	96.519	0.0
24	122.184	0.0
22	71.986	0.0
22	82.242	0.0
17	61.578	0.0
85	279.324	0.0
33	160.616	0.0
29	100.509	0.0
51	180.392	0.0
76	254.029	0.0
14	54.771	0.0
19	70.843	0.0
131	415.246	0.0
22	86.271	0.0
80	267.316	0.0
17	61.573	0.0
13	51.855	0.0
24	81.068	0.0
49	173.742	0.0
39	131.495	0.0
85	286.6	0.0
50	164.33	0.0
57	194.69	0.0
1	8.957	0.0
29	92.076	0.0
96	302.74	0.0
53	171.636	0.0
106	362.73	0.0
52	157.311	0.0
54	160.476	0.0
10	44.364	0.0
16	108.332	0.0
39	156.247	0.0
103	440.16	0.0
51	215.297	0.0
36	108.659	0.0
20	68.179	0.0
88	276.826	0.0
38	142.972	0.0
88	271.789	0.0
52	161.081	0.0
16	59.38	0.0
105	340.371	0.0
52	177.146	0.0
26	87.171	0.0
79	248.693	0.0
64	183.396	0.0
111	322.684	0.0
67	224.34	0.0
41	137.581	0.0
52	167.133	0.0
29	101.356	0.0
6	27.983	0.0
39	140.482	0.0
83	265.395	0.0
13	53.118	0.0
47	185.551	0.0
66	231.361	0.0
21	75.024	0.0
22	79.894	0.0
52	171.305	0.0
53	192.525	0.0
50	179.388	0.0
20	77.314	0.0
52	171.11	0.0
10	43.69	0.0
31	100.362	0.0
20	68.896	0.0
27	84.201	0.0
13	52.431	0.0
97	302.482	0.0
21	76.942	0.0
12	52.565	0.0
40	136.382	0.0
47	158.809	0.0
87	289.647	0.0
24	89.548	0.0
15	57.836	0.0
56	189.482	0.0
19	69.452	0.0
28	91.74	0.0
67	233.329	0.0
154	490.851	0.0
25	91.952	0.0
18	66.107	0.0
28	101.808	0.0
78	297.657	0.0
112	337.818	0.0
57	189.841	0.0
23	83.703	0.0
71	237.138	0.0
44	155.33	0.0
35	147.694	0.0
40	155.418	0.0
39	130.863	0.0
10	44.215	0.0
36	116.439	0.0
98	300.435	0.0
14	55.164	0.0
21	74.802	0.0
11	46.8	0.0
39	128.696	0.0
94	310.847	0.0
24	89.327	0.0
103	334.075	0.0
21	74.561	0.0
37	129.366	0.0
37	121.21	0.0
11	44.984	0.0
84	272.889	0.0
20	70.835	0.0
79	270.938	0.0
42	119.836	0.0
19	155.937	0.0
19	79.86	0.0
40	143.612	0.0
29	104.761	0.0
36	124.723	0.0
34	117.439	0.0
74	251.322	0.0
44	130.633	0.0
36	121.618	0.0
83	271.705	0.0
36	122.451	0.0
61	217.467	0.0
31	105.759	0.0
40	169.325	0.0
79	262.319	0.0
18	62.679	0.0
22	83.893	0.0
51	217.366	0.0
66	214.553	0.0
56	211.723	0.0
41	149.206	0.0
37	138.612	0.0
10	52.165	0.0
9	43.263	0.0
20	76.265	0.0
51	166.995	0.0
29	127.082	0.0
62	214.07	0.0
43	146.191	0.0
147	554.618	0.0
42	155.635	0.0
31	118.916	0.0
40	130.842	0.0
75	250.037	0.0
53	178.37	0.0
25	83.997	0.0
34	117.349	0.0
37	129.145	0.0
93	340.72	0.0
12	51.276	0.0
13	53.783	0.0
82	274.683	0.0
99	331.128	0.0
89	295.955	0.0
53	179.165	0.0
18	69.454	0.0
54	187.662	0.0
71	233.644	0.0
52	178.193	0.0
52	158.754	0.0
65	217.972	0.0
10	43.834	0.0
47	156.466	0.0
11	48.561	0.0
28	101.115	0.0
117	341.908	0.0
71	284.264	0.0
16	62.933	0.0
92	280.937	0.0
33	108.229	0.0
10	44.167	0.0
17	62.957	0.0
69	233.67	0.0
40	137.399	0.0
34	116.037	0.0
65	253.675	0.0
51	169.269	0.0
16	60.917	0.0
10	43.002	0.0
1	13.53	0.0
30	105.192	0.0
43	156.936	0.0
10	42.851	0.0
40	147.835	0.0
41	135.611	0.0
129	419.636	0.0
9	42.407	0.0
12	47.089	0.0
106	315.854	0.0
55	186.012	0.0
53	190.011	0.0
32	125.013	0.0
60	190.453	0.0
10	42.71	0.0
17	61.776	0.0
105	350.361	0.0
57	189.504	0.0
19	70.488	0.0
20	72.601	0.0
90	322.201	0.0
35	129.169	0.0
95	306.789	0.0
43	149.361	0.0
20	72.279	0.0
11	47.369	0.0
40	147.167	0.0
39	134.958	0.0
10	43.762	0.0
31	108.845	0.0
13	55.033	0.0
12	51.699	0.0
17	61.654	0.0
14	49.803	0.0
30	93.909	0.0
70	230.41	0.0
38	135.515	0.0
43	159.297	0.0
36	115.035	0.0
17	66.31	0.0
14	52.414	0.0
3	17.4	0.0
53	169.012	0.0
47	159.375	0.0
