STEPS	TIME[ms]	ERROR
4	50.483	0.0	
5	27.772	0.0	
4	21.6	0.0	
4	21.018	0.0	
8	36.196	0.0	
4	21.866	0.0	
7	28.676	0.0	
5	22.544	0.0	
6	23.836	0.0	
6	27.824	0.0	
5	23.385	0.0	
7	28.469	0.0	
6	23.416	0.0	
5	22.612	0.0	
5	22.071	0.0	
4	21.715	0.0	
4	19.881	0.0	
4	20.767	0.0	
7	29.471	0.0	
9	38.16	0.0	
4	21.078	0.0	
4	23.461	0.0	
7	28.414	0.0	
6	26.554	0.0	
7	27.31	0.0	
6	32.282	0.0	
6	25.737	0.0	
4	20.92	0.0	
9	61.21	0.0	
7	28.562	0.0	
6	27.015	0.0	
5	22.843	0.0	
5	24.322	0.0	
6	28.969	0.0	
7	31.162	0.0	
9	38.402	0.0	
4	19.831	0.0	
5	25.609	0.0	
6	23.554	0.0	
4	21.768	0.0	
4	20.307	0.0	
6	27.831	0.0	
5	24.444	0.0	
5	22.715	0.0	
7	38.422	0.0	
4	21.766	0.0	
9	59.849	0.0	
4	22.237	0.0	
4	19.971	0.0	
4	20.829	0.0	
4	19.715	0.0	
4	22.202	0.0	
7	31.69	0.0	
5	24.858	0.0	
12	42.117	0.0	
11	43.531	0.0	
4	21.721	0.0	
4	20.557	0.0	
9	34.159	0.0	
5	22.019	0.0	
4	19.582	0.0	
4	21.87	0.0	
1	10.583	0.0	
7	29.554	0.0	
7	28.286	0.0	
5	21.983	0.0	
6	26.289	0.0	
5	22.803	0.0	
4	24.96	0.0	
6	23.921	0.0	
4	21.36	0.0	
6	26.982	0.0	
4	21.679	0.0	
4	20.009	0.0	
9	34.411	0.0	
5	21.935	0.0	
6	27.019	0.0	
5	22.884	0.0	
7	27.373	0.0	
4	20.859	0.0	
4	21.631	0.0	
5	22.839	0.0	
4	19.914	0.0	
4	20.317	0.0	
7	30.487	0.0	
5	24.965	0.0	
6	28.753	0.0	
4	20.181	0.0	
4	21.302	0.0	
7	32.851	0.0	
5	23.525	0.0	
5	22.95	0.0	
6	27.377	0.0	
5	22.059	0.0	
7	27.404	0.0	
5	22.654	0.0	
5	21.774	0.0	
4	20.769	0.0	
7	27.309	0.0	
4	20.176	0.0	
7	34.863	0.0	
4	27.108	0.0	
4	24.735	0.0	
5	26.142	0.0	
4	24.442	0.0	
6	29.969	0.0	
4	27.453	0.0	
9	42.331	0.0	
7	28.293	0.0	
4	21.238	0.0	
6	26.621	0.0	
4	21.651	0.0	
5	22.965	0.0	
4	22.764	0.0	
6	23.599	0.0	
6	28.133	0.0	
6	29.335	0.0	
4	20.194	0.0	
5	25.057	0.0	
5	21.682	0.0	
5	23.079	0.0	
5	22.242	0.0	
9	37.18	0.0	
4	20.417	0.0	
5	22.561	0.0	
4	19.808	0.0	
7	26.979	0.0	
4	20.282	0.0	
4	21.457	0.0	
7	27.996	0.0	
4	21.726	0.0	
4	27.173	0.0	
11	46.893	0.0	
8	36.634	0.0	
7	27.519	0.0	
6	26.005	0.0	
5	22.564	0.0	
6	28.347	0.0	
6	26.978	0.0	
5	22.583	0.0	
7	27.034	0.0	
7	26.983	0.0	
5	22.83	0.0	
4	19.569	0.0	
4	19.392	0.0	
7	55.093	0.0	
5	23.151	0.0	
7	98.096	0.0	
4	49.177	0.0	
5	25.93	0.0	
8	32.592	0.0	
6	40.572	0.0	
6	33.035	0.0	
8	52.91	0.0	
5	33.726	0.0	
5	24.003	0.0	
5	22.871	0.0	
9	55.635	0.0	
4	21.931	0.0	
4	22.53	0.0	
4	21.241	0.0	
4	20.396	0.0	
8	32.39	0.0	
5	23.259	0.0	
6	48.95	0.0	
5	24.062	0.0	
8	39.747	0.0	
6	43.733	0.0	
8	30.863	0.0	
4	31.33	0.0	
4	20.949	0.0	
4	22.098	0.0	
6	24.081	0.0	
4	33.11	0.0	
7	29.822	0.0	
6	28.484	0.0	
4	19.839	0.0	
5	22.202	0.0	
6	31.221	0.0	
5	23.146	0.0	
7	32.576	0.0	
5	22.512	0.0	
4	19.712	0.0	
6	23.312	0.0	
6	23.116	0.0	
4	21.389	0.0	
5	21.913	0.0	
4	20.671	0.0	
4	22.313	0.0	
7	27.225	0.0	
5	21.768	0.0	
7	25.882	0.0	
8	29.949	0.0	
4	20.52	0.0	
11	48.617	0.0	
7	32.105	0.0	
8	28.415	0.0	
4	21.922	0.0	
6	24.961	0.0	
4	21.464	0.0	
4	19.487	0.0	
4	20.309	0.0	
6	23.228	0.0	
4	19.485	0.0	
4	20.783	0.0	
4	21.437	0.0	
4	19.268	0.0	
4	20.493	0.0	
5	22.741	0.0	
4	20.157	0.0	
7	29.582	0.0	
4	20.025	0.0	
6	28.469	0.0	
