STEPS	TIME[ms]	ERROR
420240	287802.012	0.0
574260	391551.318	0.0
569160	403463.959	0.0
524160	353321.726	0.0
635740	431659.567	0.0
585880	399461.002	0.0
546980	386197.899	0.0
464120	327695.667	0.0
479100	332355.84	0.0
470480	325354.158	0.0
436160	307125.742	0.0
392300	257607.306	0.0
503580	354494.081	0.0
436080	318811.012	0.0
614280	439230.507	0.0
479880	357359.983	0.0
490560	470301.619	0.0
493880	399215.955	0.0
495860	348589.6	0.0
509700	373392.118	0.0
555460	396867.726	0.0
403100	291682.047	0.0
597500	456412.123	0.0
550520	384092.482	0.0
458080	324041.428	0.0
589480	402738.862	0.0
591720	398233.37	0.0
498520	368114.81	0.0
558000	379503.273	0.0
497420	343856.221	0.0
494220	337332.065	0.0
551020	381256.106	0.0
545860	370434.154	0.0
564440	383974.574	0.0
535820	362105.019	0.0
461200	308993.576	0.0
521040	362830.708	0.0
431160	306952.024	0.0
483240	347020.554	0.0
527220	365868.54	0.0
459520	305990.605	0.0
465480	342176.355	0.0
423940	291929.401	0.0
392140	275436.852	0.0
535840	368295.772	0.0
419560	293726.277	0.0
417820	295094.125	0.0
510500	352026.29	0.0
506240	346540.976	0.0
455020	308537.931	0.0
546820	377000.997	0.0
547280	385633.51	0.0
586160	400989.605	0.0
561380	394975.039	0.0
470580	329336.174	0.0
355040	238481.152	0.0
420200	283858.417	0.0
601660	412030.35	0.0
535980	364445.56	0.0
530820	363780.767	0.0
445760	308014.761	0.0
531800	367887.191	0.0
497540	348503.378	0.0
482080	329326.754	0.0
542820	373369.856	0.0
411500	277177.418	0.0
505760	341656.995	0.0
606680	412442.946	0.0
482840	325175.993	0.0
512060	354071.484	0.0
497660	348825.507	0.0
527060	366404.785	0.0
511680	369582.465	0.0
412080	283943.596	0.0
591840	417138.613	0.0
575560	385862.794	0.0
429320	285809.654	0.0
592220	425646.135	0.0
462440	316946.063	0.0
449140	305062.687	0.0
478220	328677.391	0.0
584980	414747.153	0.0
416200	284031.546	0.0
528000	357485.275	0.0
495480	345355.98	0.0
511500	350411.413	0.0
574320	397959.952	0.0
569680	389694.522	0.0
455040	330192.374	0.0
372360	250452.394	0.0
564200	375407.127	0.0
553660	371691.144	0.0
560960	386551.811	0.0
583460	404436.848	0.0
414280	283056.921	0.0
540600	373208.149	0.0
547020	372034.199	0.0
576280	386508.061	0.0
581980	405865.98	0.0
492180	350683.935	0.0
545280	388740.259	0.0
494260	351304.506	0.0
469520	321481.027	0.0
450500	315155.443	0.0
510760	361302.236	0.0
460520	309893.684	0.0
437000	302346.793	0.0
602920	416084.377	0.0
419460	278621.418	0.0
548420	370567.553	0.0
500780	344287.195	0.0
532540	363963.045	0.0
435060	299464.273	0.0
461060	317847.072	0.0
553120	402954.8	0.0
504480	340696.781	0.0
443360	305090.592	0.0
473600	328873.527	0.0
508380	364027.125	0.0
513880	355650.854	0.0
557620	382288.475	0.0
568100	405415.456	0.0
579100	393176.375	0.0
555080	376182.158	0.0
347960	235579.609	0.0
490160	348172.181	0.0
507320	343481.854	0.0
544920	378139.971	0.0
442480	303241.484	0.0
478260	344218.022	0.0
579880	401261.28	0.0
523580	384312.468	0.0
492520	361501.313	0.0
449900	318363.348	0.0
349460	231492.178	0.0
437020	295285.275	0.0
599420	425917.411	0.0
473940	321250.062	0.0
477320	332105.865	0.0
422600	295089.187	0.0
472860	339231.677	0.0
500980	364106.084	0.0
530860	369350.255	0.0
352240	239262.268	0.0
491440	338568.902	0.0
464620	320142.335	0.0
453700	320366.241	0.0
380040	265149.824	0.0
508360	345029.753	0.0
481860	347237.758	0.0
473320	332747.266	0.0
465600	315100.589	0.0
466000	340066.979	0.0
526920	363177.541	0.0
400000	273281.245	0.0
416100	281955.936	0.0
399640	266080.189	0.0
394480	267226.3	0.0
536720	380766.698	0.0
579560	392811.056	0.0
528240	373809.623	0.0
569420	402874.57	0.0
604400	438439.304	0.0
407080	295111.586	0.0
497680	342782.384	0.0
520640	364595.031	0.0
455020	306576.65	0.0
515180	356149.15	0.0
531500	384778.256	0.0
583940	399709.097	0.0
620900	433350.413	0.0
427240	286726.975	0.0
392320	281407.257	0.0
454940	309730.278	0.0
436880	296135.562	0.0
637220	446863.482	0.0
535520	385438.47	0.0
501420	353203.738	0.0
510020	356883.354	0.0
412040	316881.148	0.0
444360	316849.781	0.0
498640	339854.613	0.0
474060	318788.563	0.0
447020	302389.278	0.0
430360	300708.993	0.0
696660	475956.649	0.0
517860	360708.0	0.0
542160	391527.669	0.0
384800	263908.207	0.0
478560	325736.195	0.0
486820	341566.858	0.0
560760	392017.316	0.0
510940	385915.741	0.0
438180	322185.79	0.0
425180	299515.9	0.0
411300	287856.925	0.0
499040	348866.59	0.0
540880	384539.068	0.0
516780	364809.287	0.0
488760	336912.383	0.0
431120	291340.32	0.0
562260	396975.725	0.0
532580	378049.591	0.0
576400	425662.579	0.0
553380	375478.145	0.0
498140	355879.241	0.0
491300	353058.41	0.0
497800	343030.849	0.0
461400	342343.654	0.0
475060	332629.684	0.0
503960	355855.105	0.0
507120	355203.745	0.0
555940	380466.788	0.0
491100	338814.416	0.0
510400	357449.517	0.0
500640	343324.827	0.0
559380	385068.356	0.0
473500	334143.58	0.0
374740	261314.815	0.0
624040	433422.163	0.0
543860	376019.395	0.0
535480	393129.974	0.0
697420	513808.724	0.0
474440	346835.619	0.0
569020	405432.774	0.0
388600	271076.312	0.0
464000	312678.767	0.0
530540	361684.374	0.0
472980	331884.675	0.0
537400	391956.358	0.0
520600	390820.954	0.0
570900	395840.786	0.0
451340	333471.216	0.0
520060	382815.21	0.0
527300	451486.563	0.0
463080	346214.44	0.0
432480	339421.126	0.0
451360	348482.548	0.0
484900	380318.631	0.0
515180	395372.814	0.0
384980	292087.109	0.0
466540	336147.696	0.0
424260	312338.203	0.0
500240	369625.197	0.0
552360	391408.608	0.0
532120	379389.265	0.0
505300	372097.773	0.0
499940	368865.6	0.0
573760	431790.725	0.0
549540	393593.144	0.0
567360	431204.162	0.0
499040	349044.289	0.0
537280	382929.759	0.0
540020	395494.724	0.0
559760	408607.625	0.0
442880	336088.147	0.0
422520	301315.942	0.0
399600	303945.824	0.0
503240	362879.725	0.0
547480	403502.852	0.0
501080	363209.208	0.0
415340	311874.776	0.0
523960	380515.555	0.0
374320	285833.88	0.0
590340	439591.702	0.0
589400	450993.632	0.0
520040	385072.64	0.0
584360	448877.337	0.0
433060	310203.727	0.0
514440	392902.158	0.0
606220	440916.085	0.0
540380	375691.272	0.0
477040	329525.1	0.0
501740	363169.862	0.0
595700	423548.901	0.0
557900	394433.601	0.0
534200	379871.686	0.0
482100	359202.19	0.0
592800	448512.194	0.0
518600	369277.969	0.0
469320	359129.723	0.0
439120	333906.336	0.0
465600	357962.316	0.0
534880	425527.695	0.0
576620	416190.631	0.0
556800	418700.612	0.0
658060	487949.694	0.0
458980	354581.908	0.0
429540	356986.034	0.0
591300	434954.367	0.0
416480	291266.055	0.0
453440	329109.504	0.0
548880	399904.474	0.0
505460	347563.31	0.0
542220	381597.752	0.0
552260	380790.502	0.0
511980	395948.71	0.0
589860	442682.152	0.0
477160	343463.548	0.0
515240	371202.289	0.0
512060	355337.443	0.0
533400	377422.478	0.0
491340	349642.428	0.0
544140	376677.361	0.0
547960	381593.274	0.0
515120	384170.707	0.0
461720	320100.924	0.0
456440	320585.85	0.0
439480	302474.562	0.0
