STEPS	TIME[ms]	ERROR
25494	15056.19	0.0
14784	7997.739	0.0
42210	25132.038	0.0
23898	13476.827	0.0
13272	7008.355	0.0
31626	18084.377	0.0
54768	31834.436	0.0
30303	17211.376	0.0
5796	2618.283	0.0
51723	29894.821	0.0
29337	16483.987	0.0
48972	27781.046	0.0
10080	4984.575	0.0
25074	13703.359	0.0
54075	30706.161	0.0
4347	2013.675	0.0
30282	16805.88	0.0
53340	31117.519	0.0
45381	28103.595	0.0
33789	19355.582	0.0
7980	3922.75	0.0
41832	23725.615	0.0
37338	21001.313	0.0
31605	17559.679	0.0
47544	27049.555	0.0
46725	26434.957	0.0
39648	23066.182	0.0
5439	2721.196	0.0
25851	14534.025	0.0
3906	1514.18	0.0
45129	26573.221	0.0
30807	19210.979	0.0
28686	17737.319	0.0
33978	20316.714	0.0
19551	11733.155	0.0
26250	15629.025	0.0
40866	24769.492	0.0
58695	36632.905	0.0
10710	6331.917	0.0
7812	4232.817	0.0
40719	24584.177	0.0
16254	9079.022	0.0
27006	15203.687	0.0
53298	31325.586	0.0
16611	9022.702	0.0
23394	12766.207	0.0
56784	32370.785	0.0
43890	24870.973	0.0
18879	11169.061	0.0
32907	19103.67	0.0
6069	2758.969	0.0
14553	7910.027	0.0
44205	25207.836	0.0
20286	11144.385	0.0
34755	19192.819	0.0
53004	29979.07	0.0
14469	7878.885	0.0
35700	20123.811	0.0
44079	25089.348	0.0
40551	23704.675	0.0
42042	25595.804	0.0
40299	23805.525	0.0
21273	11972.893	0.0
22029	12736.716	0.0
14721	8714.725	0.0
18648	10520.171	0.0
59766	36482.422	0.0
39375	24099.388	0.0
24738	14954.086	0.0
1365	539.427	0.0
38535	22932.613	0.0
33096	19755.232	0.0
45528	27165.042	0.0
40110	24808.244	0.0
1680	713.009	0.0
47124	28536.901	0.0
54747	32881.143	0.0
4263	2190.049	0.0
40551	24120.612	0.0
45759	27515.767	0.0
39753	25581.248	0.0
3129	1281.065	0.0
1134	484.908	0.0
