STEPS	TIME[ms]	ERROR
56	176.531	0.0
88	129.469	0.0
104	135.617	0.0
96	127.386	1.0
92	124.634	0.0
104	138.196	0.0
116	140.365	0.0
96	149.729	0.0
88	128.561	0.0
92	146.957	0.0
96	126.335	0.0
96	126.454	0.0
104	130.601	0.0
76	111.265	0.08685800604229607
100	132.286	0.0
44	92.319	0.0
84	117.875	0.0
84	118.096	0.0
104	131.747	0.0
108	135.027	0.0
104	131.83	0.0
96	125.666	0.0
108	136.748	0.0
88	123.206	0.044585987261146494
96	129.177	0.0
112	136.834	0.0
88	118.891	0.0
100	128.804	0.0
124	145.793	0.0
108	132.39	0.0
92	121.066	0.018863737239236573
96	123.472	0.0
96	126.898	0.0
88	119.975	0.0
132	151.129	0.03607809847198642
84	116.949	0.0
116	159.004	0.0
84	115.672	0.0
76	110.576	0.0
44	88.523	0.13376623376623376
104	133.122	0.0
96	125.997	0.0
108	132.971	0.0
56	96.023	0.0
104	128.657	0.0
92	121.517	0.0
124	142.908	0.032190195665895226
92	132.096	0.0
80	159.209	0.0
100	139.182	0.1306588148693412
68	136.697	0.0
56	99.346	0.12272143774069319
116	138.743	0.0
64	102.484	0.0
92	120.637	0.0
92	124.259	0.0
68	105.254	0.0
108	134.898	0.0
88	130.947	0.0
92	152.788	0.0
120	140.118	0.0
60	100.205	0.0
136	154.248	0.0
84	117.345	0.0
132	162.172	0.0
92	138.681	0.0
92	135.228	0.0
84	128.203	0.0
80	124.197	0.0
80	125.046	0.0
48	99.979	0.0
60	109.956	0.0
60	108.656	0.0
72	112.584	0.0
72	110.967	0.0
132	151.978	0.0
88	119.857	0.0
72	107.999	0.024721543058951374
96	123.635	0.0
116	138.319	0.0
64	102.155	0.0
92	120.588	0.0
120	141.82	0.0
80	114.285	0.0
124	213.568	0.0
96	149.891	0.0
84	115.828	0.0
72	107.733	1.0
76	111.422	0.0
92	122.339	0.0
68	105.155	0.0
56	97.305	0.0
92	122.499	0.0
84	117.076	0.0
108	132.119	0.0
84	133.145	0.0
120	140.969	0.0
80	114.295	0.0
124	148.641	0.0
72	108.999	0.0
116	137.023	0.0
76	110.713	0.0
112	134.368	0.0
84	114.944	0.0
68	104.717	0.0
80	113.118	0.0
72	110.362	0.0
116	139.04	0.0
116	138.611	0.0
88	119.199	0.0
96	128.085	0.0
76	112.297	0.0
72	107.785	0.0
72	108.7	0.014017381553125876
84	119.589	0.0
100	128.575	0.0
104	130.13	0.0
72	107.847	0.0
88	119.042	0.0
84	117.431	0.0
92	121.128	0.0
108	132.429	0.0
132	161.957	0.0
88	153.494	0.0
92	123.716	0.0
80	114.555	0.0
100	182.436	0.0
100	131.542	0.0
84	119.097	0.0
