STEPS	TIME[ms]	ERROR
8	32.509	0.0
8	14.534	0.0
8	8.518	0.0
8	10.522	0.0
7	10.464	0.0
8	9.867	0.0
8	12.101	0.0
8	10.406	0.0
8	11.61	0.0
8	9.391	0.0
8	11.542	0.0
8	10.23	0.0
8	11.234	0.0
8	11.3	0.0
8	10.454	0.0
8	10.221	0.0
8	7.707	0.0
8	9.824	0.0
8	10.522	0.0
8	11.875	0.0
8	11.493	0.0
8	9.495	0.0
8	11.308	0.0
8	11.258	0.0
8	11.358	0.0
8	10.063	0.0
8	10.208	0.0
8	9.474	0.0
8	10.803	0.19884235614572693
8	11.886	0.0
8	11.345	0.0
8	11.367	0.0
8	9.541	0.0
8	8.941	0.0
5	8.528	0.0
8	10.199	0.0
8	9.362	0.0
8	12.6	0.0
8	11.422	0.0
8	10.374	0.0
8	9.631	0.0
8	10.37	0.0
8	10.384	0.0
8	11.133	0.0
8	11.314	0.0
8	10.183	0.0
6	9.182	0.0
8	10.099	0.0
8	7.337	0.0
8	10.218	0.0
8	7.251	0.0
8	11.363	0.0
8	10.314	0.0
8	9.62	0.0
6	9.627	0.11268526591107236
8	9.507	0.17280643000669793
8	10.264	0.0
8	9.342	0.0
6	11.748	0.0
8	10.701	0.0
8	7.299	0.0
8	10.216	0.0
8	9.361	0.0
8	11.123	0.0
8	11.144	0.0
8	10.645	0.0
8	10.361	0.0
8	11.56	0.0
8	7.387	0.0
8	11.292	0.0
8	10.241	0.0
8	25.286	0.0
8	36.489	0.0
8	8.101	0.0
8	9.866	0.0
8	8.763	0.0
8	11.577	0.0
8	11.746	0.0
8	20.48	0.0
8	12.312	0.0
8	10.572	0.0
8	11.343	0.0
8	7.664	0.0
8	11.915	0.0
8	11.286	0.0
8	10.524	0.0
8	9.51	0.0
8	9.473	0.0
8	9.394	0.0
7	10.178	0.0
8	11.144	0.0
8	11.353	0.0
8	9.199	0.0
8	10.44	0.0
8	11.246	0.0
8	11.197	0.0
8	10.023	0.0
8	9.296	0.0
8	10.971	0.0
8	11.72	0.0
8	13.594	0.0
8	10.266	0.0
8	9.492	0.0
8	10.234	0.0
8	9.289	0.0
8	10.165	0.0
8	10.153	0.0
8	10.235	0.0
8	11.199	0.0
8	9.483	0.0
8	11.277	0.0
8	9.32	0.0
8	10.418	0.0
8	11.244	0.0
8	13.678	0.0
8	10.623	0.0
8	9.509	0.0
8	7.59	0.0
8	10.212	0.0
8	10.209	0.0
8	11.24	0.0
8	12.748	0.0
8	9.35	0.0
8	9.231	0.0
8	10.244	0.0
8	7.236	0.0
6	9.232	0.0
8	9.301	0.0
8	10.262	0.0
8	11.382	0.0
8	12.124	0.0
8	11.374	0.0
5	8.51	0.0
7	9.236	0.0
8	11.3	0.0
8	10.233	0.0
8	11.099	0.0
5	8.151	0.0
8	9.264	0.0
8	11.1	0.0
8	11.105	0.0
8	11.106	0.0
8	13.299	0.0
8	7.474	0.0
8	7.471	0.0
7	9.426	0.0
8	13.312	0.0
8	11.241	0.0
8	9.381	0.0
8	11.163	0.0
8	11.116	0.0
5	8.198	0.0
8	10.103	0.0
8	10.232	0.0
8	10.087	0.0
8	11.044	0.0
8	10.049	0.0
8	12.78	0.0
8	9.399	0.0
8	10.274	0.0
8	9.201	0.0
8	7.376	0.0
8	13.369	0.0
8	12.473	0.0
8	10.294	0.0
8	9.253	0.0
6	9.169	0.0
8	11.001	0.0
7	10.39	0.0
8	9.262	0.0
8	9.208	0.0
8	10.193	0.0
8	11.116	0.0
8	9.396	0.0
8	10.217	0.0
8	10.172	0.0
8	7.259	0.0
8	12.159	0.0
6	9.253	0.0
8	11.086	0.0
8	10.404	0.0
8	11.169	0.0
8	7.794	0.0
8	11.186	0.0
8	13.387	0.0
8	10.23	0.0
8	10.138	0.0
8	9.286	0.0
8	36.814	0.0
8	12.249	0.0
8	10.365	0.0
6	9.51	0.0
8	11.674	0.0
8	11.88	0.0
8	9.563	0.0
8	8.535	0.0
8	9.356	0.0
8	10.395	0.0
8	10.396	0.0
8	10.157	0.0
8	7.396	0.0
8	9.38	0.0
8	13.037	0.0
8	7.397	0.0
8	9.397	0.0
8	12.273	0.0
8	7.553	0.0
8	9.328	0.0
8	11.122	0.0
8	11.439	0.0
6	9.541	0.0
8	7.329	0.0
5	8.201	0.0
8	11.205	0.0
8	7.338	0.0
8	7.315	0.0
8	9.238	0.0
8	9.432	0.0
8	9.343	0.0
8	10.243	0.0
8	10.131	0.0
8	10.024	0.0
8	10.208	0.0
8	9.076	0.0
8	10.216	0.0
8	11.639	0.0
8	11.205	0.0
8	11.219	0.0
8	9.38	0.0
8	11.16	0.0
8	11.11	0.0
8	11.3	0.0
8	11.039	0.0
7	10.221	0.0
8	11.149	0.0
8	9.254	0.0
8	9.209	0.0
8	11.233	0.0
8	10.189	0.0
8	9.309	0.0
8	13.077	0.0
8	11.41	0.0
8	9.326	0.0
8	9.159	0.0
8	8.529	0.0
8	12.471	0.0
8	11.175	0.0
7	11.761	0.0
8	10.501	0.0
6	9.121	0.0
8	7.326	0.0
8	9.42	0.0
8	10.233	0.0
8	9.272	0.0
8	7.279	0.0
8	11.616	0.0
8	13.437	0.0
8	11.273	0.0
8	10.139	0.0
8	10.288	0.0
8	10.494	0.0
8	11.276	0.0
8	11.186	0.0
8	10.262	0.0
8	9.484	0.0
8	9.241	0.0
8	10.235	0.0
8	10.207	0.0
7	12.406	0.0
8	10.528	0.0
8	11.227	0.0
8	10.227	0.0
8	12.114	0.0
8	10.459	0.0
8	10.178	0.0
8	10.109	0.0
8	11.21	0.0
8	9.344	0.0
8	11.105	0.0
7	9.36	0.12319038514067195
8	9.134	0.0
8	9.263	0.0
6	9.105	0.0
8	7.282	0.0
8	10.992	0.0
8	11.202	0.0
8	8.423	0.0
8	11.08	0.0
8	15.523	0.0
8	12.682	0.0
8	9.447	0.0
8	11.745	0.0
6	9.706	0.0
8	11.345	0.0
8	10.079	0.0
8	10.254	0.0
8	10.129	0.0
8	10.903	0.0
8	10.039	0.0
8	7.807	0.0
8	11.295	0.0
8	9.247	0.0
5	8.161	0.0
8	13.228	0.0
8	35.763	0.0
8	10.003	0.0
8	10.307	0.0
8	10.208	0.0
8	11.246	0.0
8	10.262	0.0
8	13.654	0.0
8	11.235	0.0
8	9.242	0.0
8	11.266	0.0
7	10.136	0.0
8	9.17	0.0
8	9.426	0.0
8	9.239	0.0
8	10.203	0.0
8	12.316	0.0
8	10.261	0.0
8	7.397	0.0
8	11.246	0.0
8	11.102	0.0
8	10.173	0.0
8	11.042	0.0
8	10.0	0.0
8	10.278	0.0
8	9.212	0.0
8	11.078	0.0
8	9.302	0.0
8	15.01	0.0
8	10.501	0.0
8	10.189	0.0
7	9.766	0.0
8	12.221	0.0
8	10.231	0.0
8	11.372	0.0
8	11.025	0.0
8	9.48	0.0
7	9.286	0.0
8	10.124	0.0
8	11.273	0.0
8	10.1	0.0
8	10.192	0.0
6	9.11	0.0
8	11.114	0.0
8	7.373	0.0
8	11.217	0.0
8	10.094	0.0
8	11.177	0.0
8	12.9	0.0
6	11.516	0.0
8	10.44	0.0
8	10.282	0.0
8	11.027	0.0
8	10.193	0.0
8	10.163	0.0
7	9.306	0.0
8	10.159	0.0
8	10.114	0.0
8	7.314	0.0
8	9.39	0.0
5	8.14	0.0
8	10.961	0.0
8	11.003	0.0
6	10.829	0.0
8	10.484	0.0
8	11.267	0.0
8	9.142	0.0
8	10.123	0.0
7	10.119	0.0
8	10.278	0.0
8	15.367	0.0
8	7.637	0.0
8	11.312	0.0
8	9.453	0.0
8	11.366	0.0
8	10.09	0.0
6	9.182	0.0
8	7.349	0.0
8	11.175	0.0
8	11.157	0.0
8	10.168	0.0
7	10.088	0.0
8	10.336	0.0
8	9.28	0.0
8	11.185	0.0
8	10.291	0.0
7	10.073	0.0
8	10.415	0.0
8	11.136	0.0
6	9.415	0.0
8	11.03	0.0
8	7.436	0.0
8	11.611	0.0
6	11.387	0.0
7	10.997	0.0
8	13.203	0.0
8	10.644	0.0
8	9.383	0.0
8	11.308	0.0
8	9.434	0.0
8	10.22	0.0
8	10.146	0.0
8	9.226	0.0
8	19.87	0.0
8	10.456	0.0
8	9.608	0.0
8	11.631	0.0
8	11.442	0.0
8	20.84	0.0
8	10.133	0.0
8	11.197	0.0
8	9.273	0.0
8	12.468	0.0
8	10.143	0.0
8	11.62	0.0
8	11.323	0.0
7	10.185	0.0
8	35.994	0.0
8	12.113	0.0
7	10.334	0.0
8	9.942	0.0
8	11.426	0.0
8	9.346	0.0
8	8.554	0.0
8	7.365	0.0
8	10.173	0.0
8	12.169	0.0
8	11.323	0.0
8	10.204	0.0
8	10.39	0.0
8	10.204	0.0
8	11.256	0.0
8	11.224	0.0
8	13.467	0.0
8	10.331	0.0
8	7.41	0.0
8	11.209	0.0
8	11.026	0.0
6	9.226	0.0
8	11.189	0.0
8	10.974	0.0
8	10.306	0.0
8	12.672	0.0
8	9.419	0.0
8	11.264	0.0
6	9.122	0.0
8	10.086	0.0
8	10.135	0.0
8	10.266	0.0
8	10.358	0.0
8	11.24	0.0
8	11.098	0.0
8	11.306	0.0
8	11.182	0.0
8	16.974	0.0
8	9.57	0.0
8	11.189	0.0
8	13.585	0.0
8	13.434	0.0
8	10.175	0.0
8	10.106	0.0
8	11.081	0.0
8	9.202	0.0
8	11.085	0.0
7	10.095	0.0
8	11.087	0.0
8	9.193	0.0
8	9.399	0.0
8	11.187	0.0
8	9.353	0.0
8	9.509	0.0
8	11.033	0.0
8	9.181	0.0
8	7.309	0.0
8	11.687	0.0
8	12.162	0.0
8	9.487	0.0
8	11.334	0.0
8	9.208	0.0
8	11.262	0.0
8	9.172	0.0
8	9.224	0.0
8	9.327	0.0
8	10.192	0.0
8	11.176	0.0
8	7.347	0.0
8	8.549	0.0
8	11.125	0.0
8	11.127	0.0
8	13.132	0.0
8	10.379	0.0
8	10.343	0.0
8	11.054	0.0
8	11.132	0.0
8	9.273	0.0
8	9.384	0.0
7	12.02	0.0
