STEPS	TIME[ms]	ERROR
5967	21210.919	0.0
74	237.012	0.0
40	139.427	0.0
7179	34247.517	0.0
9691	47172.142	0.0
1368	4650.603	0.0
13438	61299.898	0.0
46	164.412	0.0
37	139.289	0.0
3935	18182.292	0.0
25659	118518.088	0.0
5369	26117.561	0.0
5995	32732.618	0.0
11135	44590.32	0.0
7427	29997.607	0.0
35	132.304	0.0
2269	7146.454	0.0
880	2929.521	0.0
3398	11900.489	0.0
8855	32607.993	0.0
230	751.495	0.0
1011	3479.688	0.0
207	612.661	0.0
2638	9726.579	0.0
14180	57602.825	0.0
95	293.648	0.0
1991	6092.57	0.0
53	190.67	0.0
109	320.437	0.0
1716	5805.136	0.0
24881	106388.6	0.0
4353	17368.599	0.0
6407	23202.384	0.0
3793	13320.153	0.0
20692	85627.558	0.0
56	214.197	0.0
82482	375181.778	0.0
963	3036.709	0.0
1106	3826.964	0.0
9630	42874.748	0.0
93	305.815	0.0
14925	66177.205	0.0
9584	47178.124	0.0
1830	7068.509	0.0
27	112.853	0.0
13535	61861.961	0.0
22946	101242.164	0.0
1369	4126.382	0.0
15065	71187.5	0.0
955	2995.705	0.0
12985	61522.824	0.0
3809	14153.182	0.0
7033	33990.158	0.0
320	1078.207	0.0
5068	17037.217	0.0
73	249.597	0.0
5926	30359.105	0.0
257	747.318	0.0
6125	23279.708	0.0
869	2830.579	0.0
28013	128312.787	0.0
129550	583647.142	0.0
3228	13040.303	0.0
89	300.163	0.0
19509	91239.873	0.0
17979	77618.896	0.0
15549	62119.112	0.0
10590	52040.216	0.0
11884	52390.365	0.0
7330	33726.705	0.0
467	1300.787	0.0
192	567.553	0.0
1278	4294.239	0.0
20420	95000.858	0.0
15896	73631.108	0.0
13799	48975.756	0.0
1568	4820.698	0.0
8910	34498.211	0.0
37	137.275	0.0
912	2837.523	0.0
93	293.977	0.0
933	2884.782	0.0
1935	6483.027	0.0
89	272.194	0.0
2665	9379.168	0.0
8675	42977.532	0.0
26700	128164.295	0.0
15593	67165.857	0.0
582	1819.78	0.0
33	131.163	0.0
650	2037.446	0.0
4882	22396.701	0.0
772	2444.814	0.0
12103	55350.335	0.0
