STEPS	TIME[ms]	ERROR
81590	58017.466	0.0
125970	86388.155	0.0
113050	79391.987	0.0
143630	106345.795	0.0
130830	92103.622	0.0
127830	89778.532	0.0
123040	82662.72	0.0
154390	107016.844	0.0
155680	109696.564	0.0
114820	81710.805	0.0
106600	73907.011	0.0
128440	90395.117	0.0
153740	112775.991	0.0
137970	92433.507	0.0
132610	90900.031	0.0
143310	97504.741	0.0
119680	79599.005	0.0
114740	76620.31	0.0
129990	88825.089	0.0
107520	72977.523	0.0
108120	76806.627	0.0
137040	92592.037	0.0
159470	109244.747	0.0
121060	80337.86	0.0
117370	78159.05	0.0
132000	89125.592	0.0
136390	92316.505	0.0
146680	104377.728	0.0
161190	109998.811	0.0
136430	93399.671	0.0
112950	78371.16	0.0
110510	86565.116	0.0
138150	101863.957	0.0
104290	78303.83	0.0
101300	72775.256	0.0
107400	82307.205	0.0
141360	111443.464	0.0
137040	120853.397	0.0
73870	63275.569	0.0
110630	83300.334	0.0
139850	101279.885	0.0
108690	91452.493	0.0
115410	111786.845	0.0
119310	97967.71	0.0
131310	99276.258	0.0
150870	124047.408	0.0
124440	86011.923	0.0
148110	107145.15	0.0
143100	107816.601	0.0
187510	140496.769	0.0
123480	99299.442	0.0
120860	88314.635	0.0
156700	114906.607	0.0
125780	97048.963	0.0
138090	101258.131	0.0
129260	92141.646	0.0
115940	79098.667	0.0
154760	110382.994	0.0
124980	84171.217	0.0
113970	77500.939	0.0
86990	60500.862	0.0
156610	125816.782	0.0
136220	120833.15	0.0
93840	85642.948	0.0
127410	108354.853	0.0
129340	90434.974	0.0
128320	90176.543	0.0
105560	74745.416	0.0
132930	95822.539	0.0
132310	103655.469	0.0
124420	90636.779	0.0
107770	78164.289	0.0
156440	126002.477	0.0
116950	97827.813	0.0
157570	167603.314	0.0
82610	61819.453	0.0
148550	103576.018	0.0
114970	81772.79	0.0
114560	82064.826	0.0
152990	105056.531	0.0
129790	95302.898	0.0
129150	93379.544	0.0
124610	89648.048	0.0
139270	97385.784	0.0
193340	132341.299	0.0
80590	57023.323	0.0
121180	87850.383	0.0
105800	71687.699	0.0
119570	85720.512	0.0
129740	90757.63	0.0
104280	71517.952	0.0
160700	109826.084	0.0
89760	64250.275	0.0
89890	62251.586	0.0
130190	92449.593	0.0
104800	72265.598	0.0
93870	65427.523	0.0
148740	102323.63	0.0
114640	76923.518	0.0
129840	88252.159	0.0
129000	89155.016	0.0
110990	73413.555	0.0
147980	100653.363	0.0
132850	90096.634	0.0
122300	85996.124	0.0
128750	85479.226	0.0
98510	66199.728	0.0
115800	76721.954	0.0
114900	80613.769	0.0
95170	67326.694	0.0
100280	66606.465	0.0
140350	95172.813	0.0
119670	83132.51	0.0
107730	72487.148	0.0
149490	101335.932	0.0
121380	82487.386	0.0
104130	70148.658	0.0
122360	85101.267	0.0
108800	71893.391	0.0
148580	107596.082	0.0
71210	51754.31	0.0
114400	77672.844	0.0
120000	86496.944	0.0
123240	82212.255	0.0
121610	84779.166	0.0
119710	83603.33	0.0
107250	78087.36	0.0
99840	71131.277	0.0
96930	65360.472	0.0
110610	78385.591	0.0
130050	88749.968	0.0
117540	81543.78	0.0
127960	86749.115	0.0
128560	87304.924	0.0
155100	105860.036	0.0
127050	90555.762	0.0
118570	83405.585	0.0
99770	67710.147	0.0
124540	84187.821	0.0
124190	82398.742	0.0
128050	86928.11	0.0
142460	100088.02	0.0
116110	81135.606	0.0
102250	70591.923	0.0
159100	113935.976	0.0
103470	71119.38	0.0
93240	65979.241	0.0
121860	84342.432	0.0
133450	92682.351	0.0
171810	119788.077	0.0
118750	82595.357	0.0
166320	115709.967	0.0
108420	73402.98	0.0
110740	79017.48	0.0
128550	93350.502	0.0
128730	87236.348	0.0
133720	90967.418	0.0
127470	87948.641	0.0
125480	90384.184	0.0
169070	123599.341	0.0
84470	63503.192	0.0
94480	71541.239	0.0
117890	86657.958	0.0
142480	98657.671	0.0
93370	62801.199	0.0
151360	103645.513	0.0
124120	83748.647	0.0
146810	102332.235	0.0
144880	101246.576	0.0
138270	96988.878	0.0
129420	87703.695	0.0
107040	72019.443	0.0
103200	69627.51	0.0
109010	72816.676	0.0
102190	68635.381	0.0
59470	41983.801	0.0
149750	102569.32	0.0
134810	90158.133	0.0
140000	94673.28	0.0
163700	109933.803	0.0
141920	99213.725	0.0
114560	79589.14	0.0
105130	82498.722	0.0
133410	91251.993	0.0
102010	67673.166	0.0
136560	92195.602	0.0
127080	89880.891	0.0
168380	114313.979	0.0
163790	110730.097	0.0
152110	107502.14	0.0
104940	76580.89	0.0
152210	108331.114	0.0
119810	82235.927	0.0
136730	92001.835	0.0
124880	82589.122	0.0
129630	90770.743	0.0
142930	100531.143	0.0
126200	91095.338	0.0
88410	61017.844	0.0
109060	75125.016	0.0
125810	94270.333	0.0
119430	86560.265	0.0
119890	82983.159	0.0
114580	78580.5	0.0
117470	80551.783	0.0
110840	77287.868	0.0
101610	68235.272	0.0
73990	49097.945	0.0
79590	53448.196	0.0
144360	96980.827	0.0
114490	79376.517	0.0
111720	77351.95	0.0
114600	76886.143	0.0
128340	90479.71	0.0
116040	82188.007	0.0
135190	91895.509	0.0
103970	71481.737	0.0
119390	80948.945	0.0
119180	82243.143	0.0
105990	71262.457	0.0
124900	84944.447	0.0
122830	83296.3	0.0
114930	86589.952	0.0
124150	87111.47	0.0
169270	118691.105	0.0
160920	110802.92	0.0
112600	79076.893	0.0
108950	76048.227	0.0
157990	109258.003	0.0
135640	99959.446	0.0
113660	75779.885	0.0
120420	80297.866	0.0
120910	82121.52	0.0
157910	107916.129	0.0
149580	102837.956	0.0
116940	79290.883	0.0
134520	95053.885	0.0
152560	110206.248	0.0
164010	111731.589	0.0
146360	100093.01	0.0
113400	79033.293	0.0
159020	106133.433	0.0
110210	74518.684	0.0
106160	74564.499	0.0
119650	86151.812	0.0
139480	98904.519	0.0
152320	107549.202	0.0
111360	79933.849	0.0
132870	90118.596	0.0
132670	96179.141	0.0
94800	65835.726	0.0
116970	83445.289	0.0
110570	76159.757	0.0
138070	100177.367	0.0
164280	112357.876	0.0
109470	79337.742	0.0
105740	72177.492	0.0
108150	72993.476	0.0
105740	73555.459	0.0
105340	76960.575	0.0
131610	93492.76	0.0
96600	67448.29	0.0
89710	66006.404	0.0
144590	112021.674	0.0
151980	119385.352	0.0
135870	104963.479	0.0
162400	109877.162	0.0
104080	75019.749	0.0
108080	72907.729	0.0
129830	87950.799	0.0
119750	82407.641	0.0
149050	100126.132	0.0
95380	64753.623	0.0
92530	79992.347	0.0
128960	92603.94	0.0
77970	57819.412	0.0
133170	91787.268	0.0
138570	94576.207	0.0
122160	84683.021	0.0
93220	63891.619	0.0
148690	104979.523	0.0
156190	107637.142	0.0
129380	86605.568	0.0
115530	79939.732	0.0
140910	95199.284	0.0
122220	84475.387	0.0
134480	91624.694	0.0
88780	60369.696	0.0
101570	75461.405	0.0
131710	92752.506	0.0
118620	81121.651	0.0
98660	70956.887	0.0
127760	86602.899	0.0
124660	84127.296	0.0
113830	81528.63	0.0
119760	81663.567	0.0
110310	74297.654	0.0
106300	71027.99	0.0
96080	64640.163	0.0
138490	104865.818	0.0
109600	76417.307	0.0
117500	84310.577	0.0
86590	59466.417	0.0
116760	78775.828	0.0
105590	75278.875	0.0
161330	113497.905	0.0
123690	83831.806	0.0
71670	49587.62	0.0
137710	98949.579	0.0
136630	93043.69	0.0
129140	89121.521	0.0
159320	109836.753	0.0
147360	101383.432	0.0
136840	92626.578	0.0
129610	89803.076	0.0
145940	101295.594	0.0
162220	111735.604	0.0
109590	74707.122	0.0
114430	82229.748	0.0
117440	79653.198	0.0
107760	73762.512	0.0
75060	51082.123	0.0
158490	112265.833	0.0
156300	114851.335	0.0
85120	61581.212	0.0
162510	107328.963	0.0
158170	113272.392	0.0
136230	93499.033	0.0
114360	83363.923	0.0
104310	74987.279	0.0
124210	87504.569	0.0
127410	87824.311	0.0
166980	116117.623	0.0
96170	67996.105	0.0
94720	65800.932	0.0
86120	56582.932	0.0
111730	75150.295	0.0
165920	118446.043	0.0
154130	107905.924	0.0
107300	71564.529	0.0
121980	86244.507	0.0
125110	85389.895	0.0
125730	85533.708	0.0
160610	114246.561	0.0
154370	108934.948	0.0
124320	86116.68	0.0
129990	88648.338	0.0
106930	71304.832	0.0
102910	74152.89	0.0
91270	65227.875	0.0
120550	83752.04	0.0
136620	101140.003	0.0
146710	104579.655	0.0
114530	85276.716	0.0
108490	78605.962	0.0
89530	60567.812	0.0
124940	84507.468	0.0
112580	80182.457	0.0
138750	96945.799	0.0
94800	63838.566	0.0
123560	82793.226	0.0
144360	102512.192	0.0
88830	62272.12	0.0
132310	98192.462	0.0
132210	90694.733	0.0
137360	97545.777	0.0
125040	86252.784	0.0
147630	113379.802	0.0
97030	68304.245	0.0
106610	82490.947	0.0
131530	96541.881	0.0
113770	77023.01	0.0
91820	65908.489	0.0
145670	100701.274	0.0
132380	91999.375	0.0
154800	103900.305	0.0
140740	95018.749	0.0
141450	99953.294	0.0
114500	80344.449	0.0
88870	62068.959	0.0
115980	83917.502	0.0
96940	66211.482	0.0
108990	76467.042	0.0
133920	95274.367	0.0
146190	98563.928	0.0
125580	87938.565	0.0
116430	80227.776	0.0
138170	94602.384	0.0
145830	99102.154	0.0
128500	88943.179	0.0
107640	74419.104	0.0
133860	93792.843	0.0
122000	87709.318	0.0
172760	125514.98	0.0
140350	95597.742	0.0
123450	86337.669	0.0
109370	73172.244	0.0
148440	108307.808	0.0
151730	105438.254	0.0
155370	108993.092	0.0
136100	91985.174	0.0
144330	96933.492	0.0
137050	92431.9	0.0
133760	89504.005	0.0
85370	56881.358	0.0
122320	84558.243	0.0
116780	83326.584	0.0
135250	95880.106	0.0
103530	76479.289	0.0
124950	95377.584	0.0
115300	78824.978	0.0
116430	80124.357	0.0
115800	78236.789	0.0
80290	61043.242	0.0
112990	78022.062	0.0
142720	107278.623	0.0
131790	92198.586	0.0
98190	66739.624	0.0
82010	56727.602	0.0
120470	82174.507	0.0
85040	60122.899	0.0
147650	108317.647	0.0
160960	117409.443	0.0
116000	87685.363	0.0
172070	119003.021	0.0
87390	58257.062	0.0
76330	51738.894	0.0
131870	91434.743	0.0
137500	94000.257	0.0
128660	86755.06	0.0
129760	89322.498	0.0
133680	96582.19	0.0
111950	79886.626	0.0
126930	85360.101	0.0
172650	119761.459	0.0
122470	89702.346	0.0
137960	94548.859	0.0
89800	61197.751	0.0
129670	95641.649	0.0
113780	80296.337	0.0
