STEPS	TIME[ms]	ERROR
3080	1506.091	0.0
1254	495.552	0.0
13662	8304.921	0.0
9295	5769.614	0.0
9812	6201.086	0.0
8151	4676.811	0.0
8910	5121.984	0.0
6897	3745.851	0.0
2046	810.204	0.0
10373	5740.105	0.0
4587	2166.224	0.0
2343	973.659	0.0
6666	3460.608	0.0
10021	5311.484	0.0
2035	855.363	0.0
968	391.649	0.0
8052	4393.612	0.0
6127	3070.68	0.0
4796	2458.819	0.0
13475	7397.917	0.0
1408	482.893	0.0
2981	1418.6	0.0
3476	1704.095	0.0
7799	4416.735	0.0
11154	6269.947	0.0
11407	6010.114	0.0
1122	471.132	0.0
803	278.668	0.0
10780	6151.797	0.0
11110	6293.136	0.0
11528	6527.073	0.0
1474	631.396	0.0
13398	7328.813	0.0
11319	6289.051	0.0
7568	4120.769	0.0
1749	661.222	0.0
7997	4109.606	0.0
3311	1501.202	0.0
11506	6262.279	0.0
5511	2688.859	0.0
2288	963.032	0.0
6820	3411.065	0.0
5830	2929.616	0.0
8525	4470.541	0.0
5302	3233.407	0.0
9526	5176.843	0.0
9515	5109.233	0.0
2728	1171.613	0.0
1771	684.521	0.0
8668	5108.519	0.0
2123	868.624	0.0
12298	6827.571	0.0
3388	1474.815	0.0
781	279.805	0.0
4752	2340.004	0.0
10626	5628.519	0.0
4499	2331.116	0.0
12914	6966.243	0.0
8063	4345.534	0.0
13167	7096.824	0.0
11	16.918	0.0
3146	1377.502	0.0
7656	3984.248	0.0
10439	6286.354	0.0
13530	7960.464	0.0
5874	3193.577	0.0
4378	2292.314	0.0
891	342.572	0.0
539	200.355	0.0
6072	3124.172	0.0
8360	4788.96	0.0
8811	4827.101	0.0
4389	2196.834	0.0
8184	4496.701	0.0
6963	3845.455	0.0
1771	798.432	0.0
9702	5689.503	0.0
6380	3802.506	0.0
1958	932.38	0.0
8019	4950.359	0.0
9812	5705.625	0.0
4455	2176.602	0.0
11242	6235.026	0.0
3597	1868.392	0.0
7854	4266.203	0.0
14740	8361.612	0.0
7821	4606.784	0.0
9405	5742.682	0.0
2860	1328.849	0.0
1056	381.014	0.0
11341	6249.19	0.0
9273	5125.441	0.0
3366	1523.473	0.0
12782	7132.842	0.0
7425	4134.353	0.0
2926	1611.741	0.0
3575	1713.158	0.0
8888	4800.06	0.0
13728	7837.032	0.0
5269	3018.053	0.0
3784	1922.213	0.0
9801	5764.606	0.0
154	72.114	0.0
4862	2564.616	0.0
4290	2060.597	0.0
7161	3784.364	0.0
2101	846.247	0.0
10329	5619.616	0.0
2211	1056.539	0.0
2519	1081.761	0.0
6314	3518.138	0.0
9735	5436.627	0.0
13376	7732.147	0.0
4411	2219.798	0.0
1617	664.291	0.0
8800	4844.858	0.0
3630	1638.992	0.0
4686	2318.403	0.0
13728	8197.785	0.0
9537	5866.619	0.0
4884	2684.917	0.0
2970	1381.556	0.0
6413	3603.806	0.0
8987	5750.56	0.0
8800	5470.877	0.0
14223	8739.208	0.0
3168	1535.998	0.0
12507	7121.854	0.0
10395	6437.132	0.0
5841	3263.487	0.0
16269	9422.134	0.0
6061	3414.472	0.0
1309	570.954	0.0
4708	2711.325	0.0
8217	5185.347	0.0
1089	483.241	0.0
4092	2046.981	0.0
660	269.689	0.0
7689	4103.451	0.0
11693	6566.002	0.0
4499	2164.768	0.0
10571	5886.039	0.0
2189	1005.844	0.0
8833	4894.18	0.0
3817	2080.956	0.0
2376	872.706	0.0
13024	7653.815	0.0
6622	3755.44	0.0
15356	9337.057	0.0
3476	1747.057	0.0
2728	1117.8	0.0
1331	564.34	0.0
6688	3554.859	0.0
3256	1782.754	0.0
7810	4812.155	0.0
4125	2195.394	0.0
7557	4551.826	0.0
4829	2635.504	0.0
8800	5240.748	0.0
11330	6482.674	0.0
7689	4270.025	0.0
8789	4891.585	0.0
3069	1509.953	0.0
3839	1815.111	0.0
10846	6264.142	0.0
3355	1478.997	0.0
2134	902.051	0.0
16016	9155.901	0.0
9350	5636.351	0.0
11209	6215.237	0.0
10307	5629.652	0.0
10571	6436.851	0.0
352	155.034	0.0
2486	1233.13	0.0
6831	3976.151	0.0
6204	3488.866	0.0
5940	3135.564	0.0
10483	5712.292	0.0
6743	3531.998	0.0
12034	7164.683	0.0
5764	2860.335	0.0
11704	7184.124	0.0
7711	4494.203	0.0
9537	5712.961	0.0
8030	4705.319	0.0
5907	3357.528	0.0
5610	3070.092	0.0
7205	3921.992	0.0
8635	4795.683	0.0
1012	405.777	0.0
1991	776.02	0.0
14740	8895.962	0.0
