STEPS	TIME[ms]	ERROR
510	531.975	0.0
670	550.872	0.105379513633014
640	528.009	0.007123141305315644
830	637.469	0.0
740	578.866	0.0
860	679.48	0.0
750	587.784	0.0
830	656.002	0.0
890	883.425	0.0
680	557.32	0.0
580	475.317	0.0
770	592.615	0.0
960	967.153	0.0
740	648.298	0.0
760	580.696	0.0
810	610.425	0.0
640	505.197	0.0
690	530.819	0.0
730	575.436	0.0
690	550.252	0.0
560	503.794	0.0
750	593.47	0.008949499254208395
890	721.623	0.0
670	533.432	0.0
700	621.002	0.006789137380191693
770	617.656	0.0
760	603.138	0.0
850	659.83	0.0
910	687.931	0.0
770	600.947	0.0
660	528.36	0.002303535040311863
610	492.805	0.0012919896640826874
760	596.383	0.0
630	509.37	0.0
530	447.06	0.009772754032732839
610	500.233	0.0
820	628.693	0.0
800	607.071	0.0
590	481.771	0.03383356070941337
580	465.764	0.0
1020	742.914	0.0042710153368278
630	502.278	0.0
820	619.801	0.0
650	510.754	0.0
750	570.079	0.008049099506992655
820	615.139	0.0
760	576.724	0.0
820	618.34	0.0
770	653.574	0.0
1000	723.275	0.0
670	524.442	0.0
740	563.803	0.0
840	673.555	0.0
740	568.472	0.0
810	609.839	0.0
750	569.824	0.0
640	502.719	0.0
870	683.952	0.0
790	594.28	0.0
630	498.875	0.0003756574004507889
620	492.853	0.0
1030	746.798	0.0
780	659.49	0.0
490	458.373	0.0
660	575.606	0.0
750	645.185	0.0
770	664.32	0.010181311018131101
710	546.298	0.0
860	649.664	0.0
720	557.238	0.0
810	606.532	0.0
650	508.46	0.0
900	664.568	0.0
660	512.55	0.0
890	704.499	0.0013869625520110957
470	418.714	0.11896061713357693
840	662.88	0.0
660	517.2	0.0
610	483.287	0.0
830	620.467	0.008167853128512552
690	531.055	0.0
780	592.093	0.0
810	676.554	0.0
790	598.698	0.0
1110	800.08	0.0
600	479.628	0.0
750	570.478	0.0
660	512.797	0.0
770	579.766	0.0
760	577.407	0.0
720	549.712	0.0
920	674.736	0.0
470	402.291	0.0
460	471.927	0.0
720	620.034	0.0
610	605.921	0.001959503592423253
610	647.869	0.0
830	779.348	0.0
740	691.944	0.007324665812122322
700	601.883	0.000783289817232376
840	684.238	0.0
710	549.53	0.0
830	626.217	0.0
810	612.768	0.0
850	632.622	0.0
840	630.818	0.0
750	573.953	0.0
950	693.285	0.0
620	491.479	0.0
490	467.481	0.0
560	512.194	0.01570113697888468
750	605.87	0.0
750	573.271	0.0
580	471.135	0.0
900	688.443	0.0
640	503.639	0.0
660	618.46	0.0
710	678.513	0.0
590	536.425	0.0
920	776.715	0.0004816027740319784
410	436.548	0.0
660	580.91	0.0
640	565.979	0.008276055547762659
740	693.107	0.0
880	843.455	0.0
680	589.439	0.0
610	504.836	0.0
640	519.752	0.0031711317659923457
550	462.44	0.0
650	528.99	0.0
760	617.439	0.0
660	534.689	0.0
840	724.051	0.0
700	580.642	0.0
830	646.058	0.0
680	547.716	0.04353083434099154
640	548.116	0.007901554404145078
660	545.291	0.0
710	576.175	0.0
690	566.665	0.0
750	618.41	0.0017733354828308884
870	665.343	0.0
620	506.647	0.0
550	458.128	0.019930965371339496
930	710.28	0.0
570	475.536	0.0
620	504.189	0.0
680	544.779	0.0
840	700.557	0.0
1030	783.89	0.0
650	573.963	0.0
920	718.48	0.0
640	559.614	0.0
850	685.864	0.006262300948291287
730	577.42	0.0
710	549.039	0.0
780	590.87	0.0
710	589.073	0.0
860	642.279	0.0
930	682.687	0.0
530	480.977	0.0
630	495.683	0.013806953683946278
610	483.39	0.027176735329755928
790	603.26	0.0
720	555.019	0.0
900	674.909	0.0
800	672.339	0.0
800	606.857	0.0
790	601.545	0.0
750	610.79	0.0
730	558.839	0.0020708016960851987
690	549.664	0.0
570	473.609	0.0
640	517.223	0.0
580	478.435	0.0
500	427.025	0.0
900	686.185	0.0
770	601.541	0.0
760	614.684	0.0
950	711.862	0.002274499610085781
780	604.529	0.0012220457045093486
600	492.487	0.015171503957783642
650	526.458	0.0
790	610.351	0.010022933831648687
580	498.519	0.014327343370568237
760	592.215	0.0
840	659.851	0.0
980	735.942	0.0
960	725.261	0.0
830	620.956	0.0
550	450.108	0.0
900	665.049	0.0
790	643.856	0.0
870	755.849	0.0
670	586.482	0.0
730	580.423	0.0
830	623.356	0.0
690	577.879	0.01082135887883626
710	543.95	0.0030645921735030644
670	556.061	0.0
790	650.961	0.0
700	540.751	0.0
680	532.145	0.0
640	570.031	0.0
660	529.324	0.0
900	728.643	0.0
710	559.673	0.0
440	389.459	0.0
420	374.985	0.0
760	589.352	0.0
710	553.49	0.0
680	530.591	0.03626373626373627
640	501.333	0.0
710	547.472	0.0
680	530.185	0.0
780	667.727	0.0
680	544.069	0.0
660	522.64	0.0
640	548.576	0.0
560	455.777	0.0
690	535.069	0.0
730	562.02	0.0
670	523.395	0.0
670	525.783	0.014321673465844979
910	717.667	0.0
880	697.785	0.0
680	528.634	0.0784313725490196
630	495.723	0.0
870	641.532	0.0
770	582.078	0.005942788074133763
620	487.441	0.0
660	577.429	0.0013925813394100519
640	568.268	0.0
890	969.475	0.0
810	785.813	0.0
640	574.008	0.0
790	671.936	0.0
850	700.696	0.0
930	770.131	0.0
780	628.095	0.0
690	575.011	0.0
880	671.571	0.0
590	484.943	0.012374779021803181
550	458.358	0.016669263125097367
640	521.119	0.0
730	574.592	0.0
850	650.322	0.0
610	521.368	0.0
720	573.583	0.0
750	592.364	0.0
480	410.775	0.048992355802640726
800	637.729	0.0
650	548.583	0.0
770	598.81	0.0
920	698.674	0.0
640	519.137	0.0
740	576.099	0.0
630	510.29	0.0
580	466.686	0.0
550	491.485	0.0
920	680.151	0.0
520	470.84	0.0
610	484.024	0.0
910	676.665	0.0
810	643.146	0.0
730	572.908	0.0
990	769.133	0.0
700	539.079	0.0
560	451.546	0.02151686250572257
710	550.966	0.0
680	526.559	0.0088339222614841
810	611.783	0.018500486854917234
630	502.604	0.0
560	459.86	0.0
730	562.666	0.0
600	480.997	0.0037303490540900614
740	564.943	0.0
760	581.55	0.0
810	604.46	0.0
480	402.851	0.0
780	589.881	0.0
890	719.546	0.0
810	608.774	0.0
670	568.614	0.0
770	585.519	0.0
670	521.592	0.0
710	577.348	0.0
560	655.103	0.027861069465267365
540	579.373	0.015752802181157224
800	673.183	0.0
720	598.22	0.0
540	439.882	0.0
710	544.788	0.014111006585136407
750	573.308	0.0
660	555.335	0.0
850	629.364	0.0
590	474.244	0.0
610	484.781	0.0
530	435.323	0.0
740	566.838	0.0
590	472.059	0.0
610	484.809	0.0
460	391.467	0.023791250959324637
650	514.832	0.0
550	449.251	0.0
900	663.097	0.0
690	533.258	0.008179530201342282
360	328.209	0.016308609063823115
760	579.249	0.0
770	586.342	0.0
670	525.332	0.0
890	659.043	0.0
910	738.519	0.0
740	607.043	0.0
830	620.343	0.0
810	608.814	0.0
870	645.232	0.03111679454390452
680	559.498	0.005868289502282112
650	506.46	0.0
620	520.354	0.0
710	557.842	0.0
480	400.994	0.007573592454987139
890	659.091	0.0
830	664.877	0.0
610	489.511	0.0
890	654.084	0.0
850	630.366	0.0
740	564.829	0.0
790	599.164	0.00742296918767507
540	484.678	0.0
690	531.565	0.0
880	651.112	0.0
1010	732.777	0.0
500	456.602	0.0
510	419.787	0.0
540	441.275	0.0
630	499.153	0.0013722126929674098
910	664.1	0.0
820	612.416	0.0
610	480.806	0.0
680	526.972	0.0
800	606.6	0.0
720	553.755	0.0016559032952475575
860	685.341	0.013526119402985074
830	619.799	0.0
680	526.446	0.0
720	551.463	0.0
650	511.747	0.0
640	497.856	0.0
640	504.942	0.0
