STEPS	TIME[ms]	ERROR
4	24.608	0.0
4	8.708	0.0
4	6.484	0.0
4	5.941	0.0
4	5.61	0.08339376359680928
4	5.294	0.0
4	6.106	0.0
4	5.302	0.0
4	5.819	0.0
4	4.913	0.0
4	5.291	0.0
4	5.011	0.0
4	5.192	0.0
4	5.153	0.0
4	4.848	0.0
4	4.953	0.0
4	4.46	0.0
4	4.853	0.0
4	5.356	0.0
4	6.081	0.0
4	6.992	0.0
4	4.981	0.0
4	5.559	0.0
4	5.375	0.0
4	5.961	0.0
4	5.883	0.0
4	4.963	0.0
4	4.827	0.0
4	6.861	0.19884235614572693
4	5.673	0.0
4	5.171	0.0
4	5.695	0.0
4	5.572	0.0
4	6.096	0.0
4	5.09	0.03607809847198642
4	4.852	0.0
4	7.29	0.0
4	6.472	0.0
4	5.917	0.0
4	5.458	0.0
4	5.435	0.0
4	5.921	0.0
4	5.271	0.0
4	5.084	0.0
4	5.128	0.0
4	4.822	0.0
4	4.743	0.032190195665895226
4	4.937	0.0
4	4.384	0.0
4	5.644	0.0
4	4.804	0.0
4	5.138	0.0
4	4.69	0.0
4	4.763	0.0
4	5.165	0.28945074106364427
4	4.876	0.28432685867381113
4	4.796	0.0
4	4.697	0.0
4	5.031	0.07690536495510016
4	4.921	0.0
4	4.213	0.0
4	4.707	0.0
4	4.522	0.0
4	4.991	0.0
4	5.222	0.0
4	4.782	0.0
4	4.932	0.0
4	5.172	0.0
4	4.465	0.0
4	5.13	0.0
4	4.702	0.0
4	5.323	0.0
4	6.743	0.0
4	4.481	0.0
4	5.598	0.0
4	5.362	0.0
4	5.63	0.0
4	5.259	0.0
4	5.53	0.0
4	4.678	0.0
4	5.021	0.0
4	5.359	0.0
4	4.545	0.0
4	6.787	0.0
4	5.987	0.0
4	5.103	0.0
4	4.507	0.0
4	4.583	0.0
4	4.536	0.0
4	5.004	0.05544510713496797
4	4.992	0.0
4	5.171	0.0
4	4.365	0.0
4	4.972	0.0
4	5.253	0.0
4	5.155	0.0
4	4.756	0.0
4	4.519	0.0
4	4.939	0.0
4	17.358	0.0
4	5.253	0.0
4	5.032	0.0
4	5.248	0.0
4	5.471	0.0
4	18.456	0.0
4	24.931	0.0
4	18.015	0.0
4	6.305	0.0
4	5.61	0.0
4	14.761	0.0
4	5.507	0.0
4	5.486	0.0
4	5.353	0.0
4	5.385	0.0
4	5.26	0.0
4	12.266	0.0
4	5.604	0.0
4	5.022	0.0
4	4.985	0.0
4	5.088	0.0
4	5.713	0.0
4	5.346	0.0
4	6.164	0.0
4	5.47	0.0
4	5.935	0.0
4	5.001	0.0
4	5.513	0.09811919329254476
4	5.166	0.0
4	5.421	0.0
4	6.154	0.0
4	5.475	0.0
4	6.197	0.0
4	5.263	0.1288805268109125
4	4.812	0.10486364914253585
4	5.436	0.0
4	5.176	0.0
4	5.078	0.0
4	4.49	0.3070787637088734
4	4.861	0.0
4	5.506	0.0
4	5.104	0.0
4	5.074	0.0
4	5.021	0.0
4	4.532	0.0
4	4.269	0.0
4	5.216	0.01410105757931845
4	7.764	0.0
4	5.581	0.0
4	4.74	0.0
4	5.657	0.0
4	5.533	0.0
4	4.787	0.11518324607329843
4	5.01	0.0
4	5.427	0.0
4	4.85	0.0
4	5.165	0.0
4	4.721	0.0
4	4.964	0.06449221645663454
4	4.486	0.0
4	6.686	0.0
4	4.476	0.0
4	4.163	0.0
4	6.949	0.0
4	4.771	0.0
4	5.503	0.0
4	5.083	0.0
4	5.273	0.35918854415274465
4	5.657	0.0
4	5.732	0.11499034318823355
4	5.062	0.0
4	5.037	0.0
4	5.327	0.0
4	5.682	0.0
4	5.121	0.0
4	5.232	0.0
4	5.103	0.0
4	4.67	0.0
4	5.414	0.0
4	7.435	0.06291390728476821
4	5.122	0.0
4	5.228	0.00785269428648795
4	5.008	0.0
4	4.193	0.0
4	5.083	0.0
4	5.064	0.0
4	5.441	0.0
4	5.284	0.0
