STEPS	TIME[ms]	ERROR
50	65.326	0.0
50	37.278	0.06425671455340412
50	34.897	0.0
50	46.021	0.00013443118803562428
50	53.699	0.0
50	39.754	0.015806017063313874
50	51.681	0.0
50	32.956	0.0
50	33.914	0.0
50	50.546	0.0
50	49.528	0.0
50	45.738	0.0
50	53.515	0.0
43	55.052	0.0
50	55.072	0.0
50	42.367	0.0
50	49.737	0.0
50	40.833	0.0
50	45.452	0.0
50	46.198	0.0
50	37.718	0.0
38	40.42	0.0
50	37.935	0.006537963362733609
50	44.379	0.00883569096844396
47	47.524	0.013123858794887401
50	39.426	0.0
50	38.9	0.0
50	31.593	0.0
50	34.191	0.05969128565846034
39	39.08	0.0
50	47.475	0.012220188652681966
41	39.341	0.0
50	45.707	0.0
50	40.852	0.027939796875637312
50	51.619	0.0
50	32.932	0.0
50	52.556	0.0
50	38.852	0.019945649387273754
50	39.361	0.01700515441208864
50	43.478	0.0
50	33.84	0.02982862436313108
50	44.215	0.0
50	54.514	0.0
50	40.905	0.0
50	31.693	0.0
50	53.21	0.0
50	48.842	0.0
50	37.431	0.0029593616234212332
50	53.324	0.0
50	37.241	0.017632241813602016
50	53.644	0.0
50	41.301	0.0
50	46.59	0.0031357214003762865
50	36.823	0.04250910109213105
48	40.934	0.0
50	32.139	0.0072507552870090634
50	51.023	0.0
50	33.417	0.018564138659158895
50	41.693	0.016535200573670222
50	37.455	0.0
48	46.922	0.0
49	48.572	0.0
50	41.118	0.004321791200208279
50	35.186	0.0
50	49.38	0.0
50	51.258	0.0
50	51.3	0.0
50	54.255	0.0
50	43.721	0.002449033624569764
50	48.693	0.0
50	36.134	0.0
50	34.16	0.02117911479944675
50	37.692	0.0
50	84.18	0.0
50	52.214	0.0
50	41.595	0.04326174914410209
50	38.4	0.013577596965007738
43	41.638	0.0
33	29.489	0.0
50	44.107	0.02383856303359574
50	35.582	0.0
50	39.983	0.0
50	38.041	0.0
50	33.238	0.04456855015330705
50	40.103	0.010772496095470745
50	55.795	0.0
50	51.569	0.0
49	66.821	0.0
37	36.237	0.01728825732314164
37	29.93	0.0
50	34.867	0.012621614514856692
50	45.02	0.0
50	36.098	0.0002694570440562267
50	44.594	0.004659014179608373
50	36.117	0.0
50	38.588	0.0
50	53.577	0.0
50	38.956	0.026434517379424288
50	36.88	0.0
50	50.848	0.0
50	46.233	0.005363339993690188
50	33.165	0.0
50	44.378	0.0
50	52.475	0.0
50	48.031	0.0
50	41.083	0.005285321416294259
50	47.927	0.0
50	39.637	0.0004224360478760854
41	33.298	0.0
50	37.707	0.013434768533505989
50	49.339	0.0
50	37.061	0.00042524755482655977
46	47.973	0.006661041786935476
50	38.996	0.009303573824752874
50	30.715	0.0
50	41.794	0.00043404661660662356
50	50.054	0.0
50	36.419	0.0
50	46.768	0.0
50	44.747	0.0
50	50.833	0.0
50	41.393	0.0
50	34.413	0.013874400166910078
50	47.631	0.0
50	41.846	0.0
50	46.749	0.0
50	37.414	0.012482050149121838
47	44.996	0.0
50	43.53	0.0
50	41.658	0.010437746298860368
50	55.278	0.0
50	48.304	0.0
50	39.927	0.0
50	44.922	0.0028287023775422516
50	58.763	0.0
50	52.315	0.0
41	43.466	0.0
38	33.475	0.0
50	51.421	0.0
50	45.797	0.0
50	47.177	0.0
50	35.144	0.0
50	45.576	0.0006643572343757414
50	40.876	0.0
50	46.772	0.004375683700578215
50	35.475	0.03353315848632447
50	40.684	0.0
48	46.863	0.0
50	47.754	0.0
50	40.957	0.0005364087434625185
50	52.872	0.0
47	44.992	0.0004964472990164137
50	30.991	0.0
50	45.563	0.0
50	40.644	0.00883068288119738
50	35.313	0.0032139872726104006
50	42.431	0.01251616830251845
40	38.039	0.005829123410869927
50	50.374	0.0
50	42.782	0.0
50	40.438	0.028920761815189277
50	40.3	0.013193212319730677
50	44.313	0.0
50	33.753	0.03849610545236669
48	40.134	0.0032253729337454644
33	30.24	0.029690721649484535
50	37.47	0.0014767692831989094
50	36.616	0.012423897440974113
44	33.472	0.011062652909264972
50	41.875	0.0010651629072681705
50	38.597	0.01058272538953436
50	38.888	0.015894039735099338
48	46.808	0.0
50	46.762	0.006489442303257898
42	40.656	0.010267163153898992
50	52.629	0.0
50	54.044	0.0
42	42.401	0.0
50	32.196	0.0
50	41.222	0.0011384603305460684
50	35.618	0.0
50	45.642	0.00018657412590022016
50	45.2	0.0
50	37.546	0.0
50	33.279	0.0
50	47.229	0.0
50	37.839	0.0003270325070311989
50	40.977	0.0
50	40.623	0.025462434345741036
50	84.434	0.0
50	44.553	0.0
50	42.301	0.0
47	52.038	0.0
50	53.934	0.0
50	37.551	0.011311793012936692
50	40.548	0.004097255916761011
46	45.309	0.0
50	41.948	0.0026375282592313487
50	37.426	0.030038540013602358
50	39.572	0.015474391705309226
50	51.729	0.0
50	44.855	0.0
50	38.134	0.015087770201653852
50	42.255	0.0
50	38.437	0.0
50	40.278	0.0
50	50.52	0.0
50	45.245	0.002676433300464854
50	44.729	0.0009950248756218905
50	38.812	0.0
50	52.724	0.0
50	38.053	0.009326145552560648
50	31.689	0.049043549043549045
50	53.043	0.0
50	37.713	0.023414685022945348
50	36.582	0.017796852646638054
37	28.868	0.012668045501551189
45	38.185	0.0
50	35.041	0.043512658227848104
50	41.657	0.0
50	41.676	0.0038142741876329494
